author_name	lastname	forename	person_ID	faculty	institution	institution_long
Balke D	NN	NN	FIS_45122	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioorganische Chemie
Appel B	Appel	Bettina	FIS_37798	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioorganische Chemie
Müller S	Müller	Sabine	FIS_35709	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioorganische Chemie
Wichert C	NN	NN	FIS_66858	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioorganische Chemie
Becker A	NN	NN	FIS_72634	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioorganische Chemie
Hieronymus R	NN	NN	FIS_57283	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioorganische Chemie
Xu J	NN	NN	FIS_66857	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioorganische Chemie
Frommer J	NN	NN	FIS_62394	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioorganische Chemie
Petkovic S	NN	NN	FIS_45010	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioorganische Chemie
Pulch R	Pulch	Roland	FIS_45225	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Angewandte Mathematik
Kugelmann B	Kugelmann	Bernd	FIS_33808	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Numerische Mathematik, Optimale Steuerung, Optimierung
Ziemann P	NN	NN	FIS_32830	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Numerische Mathematik, Optimale Steuerung, Optimierung
Krüger M	Krüger	Markus	FIS_89882	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Entwicklungspsychologie und Pädagogische Psychologie
Bartels W	NN	NN	FIS_44891	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Entwicklungspsychologie und Pädagogische Psychologie
Hädicke C	NN	NN	FIS_39324	Mathematisch-Naturwissenschaftliche Fakultät	Zoologie	Zoologisches Institut und Museum / AG Cytologie und Evolutionsbiologie
Haug J	NN	NN	FIS_45211	Mathematisch-Naturwissenschaftliche Fakultät	Zoologie	Zoologisches Institut und Museum / AG Cytologie und Evolutionsbiologie
Hörnig M	NN	NN	FIS_46084	Mathematisch-Naturwissenschaftliche Fakultät	Zoologie	Zoologisches Institut und Museum / AG Cytologie und Evolutionsbiologie
Sombke A	NN	NN	FIS_32046	Mathematisch-Naturwissenschaftliche Fakultät	Zoologie	Zoologisches Institut und Museum / AG Cytologie und Evolutionsbiologie
Harzsch S	Harzsch	Steffen	FIS_39235	Mathematisch-Naturwissenschaftliche Fakultät	Zoologie	Zoologisches Institut und Museum / AG Cytologie und Evolutionsbiologie
Michalik P	Michalik	Peter	FIS_32137	Mathematisch-Naturwissenschaftliche Fakultät	Zoologie	Zoologisches Institut und Museum / Zoologisches Museum
Richter S	NN	NN	FIS_51101	Universitätsmedizin Greifswald	Neurodegenerative Erkrankungen	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
Theuerkauf M	NN	NN	FIS_37197	Mathematisch-Naturwissenschaftliche Fakultät	Geo	Institut für Geographie und Geologie / AG Physische Geographie
Teltewskoi A	NN	NN	FIS_45064	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
Küster M	NN	NN	FIS_34402	Mathematisch-Naturwissenschaftliche Fakultät	Geo	Institut für Geographie und Geologie / AG Physische Geographie
Schulze C	Schulze	Christian	FIS_45232	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie / AG Pharmazeutische Biologie
Theunissen M	NN	NN	FIS_45208	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
van der Maaten E	NN	NN	FIS_45209	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
Smiljanic M	NN	NN	FIS_45173	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
Timmermann T	NN	NN	FIS_32040	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
Jansen F	NN	NN	FIS_32084	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
Kreyling J	Kreyling	Jürgen	FIS_57281	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie
Zimowski M	NN	NN	FIS_45176	Mathematisch-Naturwissenschaftliche Fakultät	Botanik	Institut für Botanik und Landschaftsökologie
Stanke M	Stanke	Mario	FIS_45012	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Bioinformatik
Bulla ,	NN	NN	FIS_70134	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Bioinformatik
Wierschin T	NN	NN	FIS_50525	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Bioinformatik
Gerischer L	NN	NN	FIS_45132	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Bioinformatik
Hoff K	Hoff	Katharina	FIS_45016	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Bioinformatik
Pena Centeno T	NN	NN	FIS_45059	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Bioinformatik
Herold R	NN	NN	FIS_26957	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Chilukoti R	Chilukoti	Ravi Kumar	FIS_1841	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Giese A	NN	NN	FIS_58896	Mathematisch-Naturwissenschaftliche Fakultät	Mikrobiologie	Institut für Mikrobiologie / Abteilung Mikrobielle Physiologie und Molekularbiologie
Eitner S	NN	NN	FIS_29804	Universitätsmedizin Greifswald	Mediz. Biochemie und Molekularbiologie	Institut für Medizinische Biochemie und Molekularbiologie
Behm T	NN	NN	FIS_49203	Philosophische Fakultät	Politik- und Kommunikationswissenschaft	Institut für Politik- und Kommunikationswissenschaft / LS für Vergleichende Regierungslehre
Peters J	Peters	Jörg	FIS_2235	Universitätsmedizin Greifswald	Physiologie	Institut für Physiologie
Müller C	NN	NN	FIS_1846	Universitätsmedizin Greifswald	Pathophysiologie	Institut für Pathophysiologie
Kaftan S	NN	NN	FIS_820	Universitätsmedizin Greifswald	HNO	Klinik und Poliklinik für Hals-Nasen-Ohrenkrankheiten, Kopf- und Halschirurgie
Blaurock M	Blaurock	Markus	FIS_31036	Universitätsmedizin Greifswald	HNO	Klinik und Poliklinik für Hals-Nasen-Ohrenkrankheiten, Kopf- und Halschirurgie
Reber K	NN	NN	FIS_50376	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Allgemeinmedizin
Wöhlert M	NN	NN	FIS_63566	Philosophische Fakultät	Philosophie	Institut für Philosophie / LS für Philosophie mit dem Schwerpunkt Praktische Philosophie
Ried W	Ried	Walter	FIS_53649	Rechts- und Staatswissenschaftliche Fakultät	Wiwi	Fachbereich Wirtschaftswissenschaften / LS für AVWL und Finanzwissenschaft
Aurich K	Aurich	Konstanze	FIS_2148	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
Schmidt S	NN	NN	FIS_45160	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Biotechnologie & Enzymkatalyse
Muschiol J	NN	NN	FIS_45163	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Biotechnologie & Enzymkatalyse
Trentin I	NN	NN	FIS_45165	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioanorganische Chemie
Kohls H	NN	NN	FIS_45136	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Biotechnologie & Enzymkatalyse
Dörr M	Dörr	Mark	FIS_45145	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie
Böttcher D	Böttcher	Dominique	FIS_32249	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Biotechnologie & Enzymkatalyse
Budde K	Budde	Kathrin	FIS_2085	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Langner I	Langner	Inga	FIS_1196	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Musäus T	Musäus	Thekla	FIS_49210	Philosophische Fakultät	Fennistik und Skandinavistik	Institut für Fennistik und Skandinavistik / LS für Fennistik
Kuty M	Kuty	Margitta	FIS_49096	Philosophische Fakultät	Anglistik	Institut für Anglistik/Amerikanistik
Könemann S	Künemann	Stephanie	FIS_1231	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Samal R	NN	NN	FIS_1980	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Wenzel K	Wenzel	Kristin	FIS_17971	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Grube K	NN	NN	FIS_2253	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Lorenz F	NN	NN	FIS_50973	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Wübbeler M	NN	NN	FIS_27624	Universitätsmedizin Greifswald	Neurodegenerative Erkrankungen	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
Dittrich D	NN	NN	FIS_2161	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Dornberger V	NN	NN	FIS_3621	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Poesch A	NN	NN	FIS_5039	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Schwebe M	NN	NN	FIS_1746	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Bonitz K	NN	NN	FIS_1891	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Budde T	NN	NN	FIS_25656	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Schult K	NN	NN	FIS_48214	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Budde S	NN	NN	FIS_63856	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Monzel J	NN	NN	FIS_20400	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Kühbandner I	NN	NN	FIS_27643	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie
Link C	NN	NN	FIS_27698	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie
Normann N	Normann	Nicole	FIS_58248	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie
Jensen C	Jensen	Corinna	FIS_18430	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Späth C	Späth	Christian	FIS_1643	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
Schröder C	NN	NN	FIS_296	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Pädiatrische Onkologie und Hämatologie
Seidlitz G	Seidlitz	Günter	FIS_1274	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Allgemeine Pädiatrie
Lauffer H	NN	NN	FIS_361	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Pädiatrische Onkologie und Hämatologie
Grohmann K	NN	NN	FIS_1170	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Pädiatrische Onkologie und Hämatologie
Berthold F	NN	NN	FIS_64111	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Bock K	NN	NN	FIS_1567	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Otto S	Otto	Stephan	FIS_1749	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Mahlke C	NN	NN	FIS_54660	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Schäfer S	NN	NN	FIS_64112	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Guhl S	NN	NN	FIS_1945	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Weymar F	NN	NN	FIS_45425	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
Müller M	NN	NN	FIS_31330	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Kieferorthopädie
Mindermann T	Mindermann	Torsten	FIS_53663	Rechts- und Staatswissenschaftliche Fakultät	Wiwi	Fachbereich Wirtschaftswissenschaften / LS für ABWL sowie Unternehmensprüfung und -besteuerung
Penndorf P	Penndorf	Peter	FIS_24970	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Schürer C	NN	NN	FIS_64243	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Werner A	Werner	Andre	FIS_3352	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
Buchhold B	Buchhold	Britta	FIS_931	Universitätsmedizin Greifswald	Medizinische Psychologie	Institut für Medizinische Psychologie
Kindler S	NN	NN	FIS_1955	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Klinik und Poliklinik für Mund-Kiefer-Gesichtschirurgie/Plastische Operationen
Schuster M	NN	NN	FIS_2087	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Klinik und Poliklinik für Mund-Kiefer-Gesichtschirurgie/Plastische Operationen
Seebauer C	Seebauer	Christian	FIS_21764	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Klinik und Poliklinik für Mund-Kiefer-Gesichtschirurgie/Plastische Operationen
Metelmann P	Doberschütz	Philine Henriette	FIS_50979	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Kieferorthopädie
Alte D	Alte	Dietrich	FIS_840	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine
Hippler R	Hippler	Rainer	FIS_32890	Mathematisch-Naturwissenschaftliche Fakultät	Physik	Institut für Physik / AG Grenz- und Oberflächenphysik
Spitzmüller R	NN	NN	FIS_2132	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Reese K	NN	NN	FIS_45424	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Jülich A	NN	NN	FIS_130	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
Heße T	NN	NN	FIS_105	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Engel G	Engel	Georg	FIS_3056	Universitätsmedizin Greifswald	Universitätsapotheke	Universitätsapotheke
Raetzell M	Raetzell	Malte	FIS_25765	Universitätsmedizin Greifswald	Ärztliches Direktorat	Ärztliches Direktorat
Eck T	NN	NN	FIS_1589	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Müller-Botz S	NN	NN	FIS_2068	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Angelow A	Angelow	Aniela	FIS_742	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Allgemeinmedizin
Mikolasch A	Mikolasch	Annett	FIS_32908	Mathematisch-Naturwissenschaftliche Fakultät	Mikrobiologie	Institut für Mikrobiologie / Abteilung Bakterienphysiologie
Drache S	NN	NN	FIS_39887	Mathematisch-Naturwissenschaftliche Fakultät	Physik	Institut für Physik / AG Grenz- und Oberflächenphysik
Kerstholt N	NN	NN	FIS_64496	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Wetterau E	NN	NN	FIS_2076	Universitätsmedizin Greifswald	Orthopädie	Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie
Lange S	Lange	Sandra	FIS_70241	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Holm T	NN	NN	FIS_48213	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Paland H	NN	NN	FIS_64511	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Küpper J	NN	NN	FIS_64512	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Nguyen T	NN	NN	FIS_31676	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
Eichenauer F	NN	NN	FIS_27905	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Asmus A	NN	NN	FIS_54654	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Haase A	Haase	Annekathrin	FIS_25790	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Allgemeinmedizin
Zühlsdorf M	NN	NN	FIS_32377	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Synthetische und Strukturelle Biochemie
Berg R	NN	NN	FIS_64628	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Block A	Block	Andrea	FIS_1633	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Lischke A	NN	NN	FIS_1301	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Mentel R	NN	NN	FIS_64727	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Koschützke L	NN	NN	FIS_76135	Universitätsmedizin Greifswald	Anatomie	Institut für Anatomie und Zellbiologie
Bertram J	NN	NN	FIS_64730	Universitätsmedizin Greifswald	Anatomie	Institut für Anatomie und Zellbiologie
Hartmann B	NN	NN	FIS_64731	Universitätsmedizin Greifswald	Anatomie	Institut für Anatomie und Zellbiologie
Borozdina Y	NN	NN	FIS_45199	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioanorganische Chemie
Schwertz H	NN	NN	FIS_27898	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
Kohler S	NN	NN	FIS_41713	Mathematisch-Naturwissenschaftliche Fakultät	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Molekulare Genetik und Infektionsbiologie - Infektionsbiologie
Kacprowski T	Kacprowski	Tim	FIS_25121	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Paul H	Paul	Hartmut	FIS_379	Universitätsmedizin Greifswald	Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
Herrendorf A	NN	NN	FIS_45144	Mathematisch-Naturwissenschaftliche Fakultät	Physik	Institut für Physik / AG Grenz- und Oberflächenphysik
Raths S	Raths	Susan	FIS_53740	Rechts- und Staatswissenschaftliche Fakultät	Wiwi	Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement
Fischer H	Fischer	Heiko	FIS_50974	Universitätsmedizin Greifswald	Medizinische Psychologie	Institut für Medizinische Psychologie
Schorge V	NN	NN	FIS_2065	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Bornewasser M	NN	NN	FIS_44829	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Sozialpsychologie/Arbeits- und Organisationspsychologie
Pütz-Bonnéhs C	NN	NN	FIS_50327	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Sozialpsychologie/Arbeits- und Organisationspsychologie
Terock J	NN	NN	FIS_19885	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Reimann M	Reimann	Melanie	FIS_31626	Universitätsmedizin Greifswald	Neurodegenerative Erkrankungen	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
Henkel B	Henkel	Berthold Johannes	FIS_50363	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Dörries K	NN	NN	FIS_36517	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Stoffwechselbiochemie / Metabolomics
Simon M	NN	NN	FIS_65099	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Rabe A	NN	NN	FIS_58297	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Reder A	Reder	Alexander	FIS_27860	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Schaffer M	Schaffer	Marc	FIS_25794	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Petkovic S	NN	NN	FIS_62372	Mathematisch-Naturwissenschaftliche Fakultät	Biochemie	Institut für Biochemie / AG Bioorganische Chemie
Rauch B	NN	NN	FIS_56333	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Kolbow J	NN	NN	FIS_65030	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
Modeß C	NN	NN	FIS_625	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
Weiss M	NN	NN	FIS_57547	Universitätsmedizin Greifswald	Urologie	Klinik und Poliklinik für Urologie
Mandelkow R	NN	NN	FIS_67733	Universitätsmedizin Greifswald	Urologie	Klinik und Poliklinik für Urologie
Gelbrich N	NN	NN	FIS_73149	Universitätsmedizin Greifswald	Urologie	Klinik und Poliklinik für Urologie
Weiss M	NN	NN	FIS_69030	Universitätsmedizin Greifswald	Urologie	Klinik und Poliklinik für Urologie
Klausenitz C	NN	NN	FIS_64961	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Hacker H	Janner	Henriette	FIS_63574	Universitätsmedizin Greifswald	Anästhesie, Intensiv- und Notfallmedizin	Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
Jodkowski J	NN	NN	FIS_1620	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Kuon E	NN	NN	FIS_24604	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Hasse S	NN	NN	FIS_61248	Mathematisch-Naturwissenschaftliche Fakultät	INP	Leibniz-Institut für Plasmaforschung und Technologie e.V. (INP)
Hahn O	NN	NN	FIS_61247	Mathematisch-Naturwissenschaftliche Fakultät	INP	Leibniz-Institut für Plasmaforschung und Technologie e.V. (INP)
Masur K	NN	NN	FIS_28059	Mathematisch-Naturwissenschaftliche Fakultät	INP	Leibniz-Institut für Plasmaforschung und Technologie e.V. (INP)
Söhnel A	Söhnel	Andreas	FIS_495	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnärztliche Prothetik, Alterszahnheilkunde und Medizinische Werkstoffkunde
Mahajan U	NN	NN	FIS_65457	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Mayerle J	NN	NN	FIS_65462	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Rossow J	NN	NN	FIS_51709	Philosophische Fakultät	Anglistik	Institut für Anglistik/Amerikanistik / LS für Englische Sprachwissenschaften
