;author_name;person_ID;inst_ID;institution_long;faculty_ID;faculty;lastname;forename;institution
1548;Schäfer C;2505;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;Schäfer;Christian;Institut für Community Medicine
1549;Gerlich M;2563;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
1551;Koll-Stobbe A;49079;295;Institut für Anglistik/Amerikanistik / LS für Englische Sprachwissenschaften;3;Philosophische Fakultät;NaN;NaN;Institut für Anglistik
1552;Gohl F;49310;295;Institut für Anglistik/Amerikanistik / LS für Englische Sprachwissenschaften;3;Philosophische Fakultät;NaN;NaN;Institut für Anglistik
1554;Winkler C;2099;43;Institut für Physiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Physiologie
1556;Krautwald M;2016;58;Institut für Pathophysiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pathophysiologie
1561;Schneider M;34589;318;Institut für Kirchenmusik und Musikwissenschaften / LS für Kirchenmusik/Orgel;3;Philosophische Fakultät;Schneider;Matthias;Institut für Kirchenmusik und Musikwissenschaften
1565;Varol E;2173;37;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinderchirurgie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Kinder- und Jugendmedizin
1567;Marggraff U;49084;301;Institut für Slawistik / LS für Slawische Literaturwissenschaft;3;Philosophische Fakultät;Marggraff;Ute;Institut für Slawistik
1569;Menges A;1795;14;Klinik und Poliklinik für Augenheilkunde;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Augenheilkunde
1570;Clemens S;2215;14;Klinik und Poliklinik für Augenheilkunde;1;Universitätsmedizin Greifswald;Clemens;Stefan;Klinik und Poliklinik für Augenheilkunde
1572;Hoene A;390;3;Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie;1;Universitätsmedizin Greifswald;Hoene;Andreas;Klinik und Poliklinik für Chirurgie
1575;Puls R;1446;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Radiologie
1592;Schwahn C;53818;23;Zentrum für Zahn-, Mund- und Kieferheilkunde;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Zahn-, Mund- und Kieferheilkunde
1593;Biffar R;53827;23;Zentrum für Zahn-, Mund- und Kieferheilkunde;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Zahn-, Mund- und Kieferheilkunde
1596;Borchardt U;1375;35;Klinik und Poliklinik für Psychiatrie und Psychotherapie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Psychiatrie und Psychotherapie
1597;Schulz A;53935;35;Klinik und Poliklinik für Psychiatrie und Psychotherapie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Psychiatrie und Psychotherapie
1616;Fischer T;2031;55;Institut für Ethik und Geschichte der Medizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Ethik und Geschichte der Medizin
1619;Michl S;2040;55;Institut für Ethik und Geschichte der Medizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Ethik und Geschichte der Medizin
1620;Marschall P;1909;337;Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement;4;Rechts- und Staatswissenschaftliche Fakultät;NaN;NaN;Fachbereich Wirtschaftswissenschaften
1622;Blome E;51702;171;Institut für Deutsche Philologie;3;Philosophische Fakultät;NaN;NaN;Institut für Deutsche Philologie
1624;Kietz S;27030;20;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Pädiatrische Onkologie und Hämatologie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Kinder- und Jugendmedizin
1625;Bahlmann H;1480;21;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin;1;Universitätsmedizin Greifswald;Bahlmann;Hagen;Zentrum für Kinder- und Jugendmedizin
1627;Winkler A;31345;21;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin;1;Universitätsmedizin Greifswald;Winkler;Annegret;Zentrum für Kinder- und Jugendmedizin
1629;Beyersdorff A;1017;21;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin;1;Universitätsmedizin Greifswald;Beyersdorff;Anke;Zentrum für Kinder- und Jugendmedizin
1631;Madi M;45445;21;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Kinder- und Jugendmedizin
1634;Fröhlke L;1739;33;Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
1645;Gellert M;27656;44;Institut für Medizinische Biochemie und Molekularbiologie;1;Universitätsmedizin Greifswald;Gellert;Manuela;Institut für Medizinische Biochemie und Molekularbiologie
1651;Jekutsch U;49064;301;Institut für Slawistik / LS für Slawische Literaturwissenschaft;3;Philosophische Fakultät;NaN;NaN;Institut für Slawistik
1654;Scheer C;1981;33;Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin;1;Universitätsmedizin Greifswald;Scheer;Christian Samuel;Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
1655;Fuchs C;2047;33;Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin;1;Universitätsmedizin Greifswald;Fuchs;Christian;Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
1657;Brückmann S;25749;42;Institut für Pathologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pathologie
1658;Schulz K;59;48;Friedrich Loeffler Institut für Medizinische Mikrobiologie;1;Universitätsmedizin Greifswald;Schulz;Katrin;Friedrich Loeffler Institut für Medizinische Mikrobiologie
1659;Kasch J;2285;12;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
1662;Schumacher E;49194;288;Institut für Deutsche Philologie / LS für Neuere deutsche Literatur und Literaturtheorie (Schumacher);3;Philosophische Fakultät;Schumacher;Eckhard;Institut für Deutsche Philologie
1667;Krüger K;49262;288;Institut für Deutsche Philologie / LS für Neuere deutsche Literatur und Literaturtheorie (Schumacher);3;Philosophische Fakultät;NaN;NaN;Institut für Deutsche Philologie
1669;Mengaldo E;49200;288;Institut für Deutsche Philologie / LS für Neuere deutsche Literatur und Literaturtheorie (Schumacher);3;Philosophische Fakultät;NaN;NaN;Institut für Deutsche Philologie
1670;Riemer R;49150;279;Historisches Institut / LS für Allgemeine Geschichte der Neuzeit;3;Philosophische Fakultät;NaN;NaN;Historisches Institut
1686;Rath M;49776;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;Rath;Matthias;Institut für Humangenetik
1702;Kampe C;31671;12;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe;1;Universitätsmedizin Greifswald;Kampe;Cornelia;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
1704;Ladwig A;1052;16;Klinik und Poliklinik für Hautkrankheiten;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Hautkrankheiten
1707;Schmid F;49305;286;Institut für Deutsche Philologie / LS für Ältere Deutsche Sprache und Literatur;3;Philosophische Fakultät;Schmid;Florian;Institut für Deutsche Philologie
1717;Pavlidis I;42547;225;Institut für Biochemie / AG Biotechnologie & Enzymkatalyse;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Biochemie
1718;Nobili A;43610;225;Institut für Biochemie / AG Biotechnologie & Enzymkatalyse;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Biochemie
1721;Gand M;45159;225;Institut für Biochemie / AG Biotechnologie & Enzymkatalyse;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Biochemie
1722;Hackenschmidt S;48007;225;Institut für Biochemie / AG Biotechnologie & Enzymkatalyse;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Biochemie
1723;Müller J;45097;222;Institut für Biochemie / AG Bioanorganische Chemie;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Biochemie
1748;Hahn V;32580;238;Institut für Mikrobiologie / Abteilung Bakterienphysiologie;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Mikrobiologie
1755;Peters C;45161;225;Institut für Biochemie / AG Biotechnologie & Enzymkatalyse;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Biochemie
1758;Behrndt P;2497;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Radiologie
1761;Zyber H;2067;34;Klinik und Poliklinik für Neurologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Neurologie
1766;Metelmann H;2200;24;Zentrum für Zahn-, Mund- und Kieferheilkunde / Klinik und Poliklinik für Mund-Kiefer-Gesichtschirurgie/Plastische Operationen;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Zahn-, Mund- und Kieferheilkunde
1767;Böttger K;2939;24;Zentrum für Zahn-, Mund- und Kieferheilkunde / Klinik und Poliklinik für Mund-Kiefer-Gesichtschirurgie/Plastische Operationen;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Zahn-, Mund- und Kieferheilkunde
1807;Gläser S;1616;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;Gläser;Sven;Zentrum für Innere Medizin
1817;Meffert P;57774;64;Institut für Community Medicine / Abt. SHIP KEF;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
1823;Mahler J;1543;59;Institut für Medizinische Psychologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Medizinische Psychologie
1826;Ratzmann A;673;25;Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnärztliche Prothetik, Alterszahnheilkunde und Medizinische Werkstoffkunde;1;Universitätsmedizin Greifswald;Ratzmann;Anja;Zentrum für Zahn-, Mund- und Kieferheilkunde
1834;van der Auwera S;31221;35;Klinik und Poliklinik für Psychiatrie und Psychotherapie;1;Universitätsmedizin Greifswald;van der Auwera-Palitschka;Sandra;Klinik und Poliklinik für Psychiatrie und Psychotherapie
1852;Janowitz D;1462;35;Klinik und Poliklinik für Psychiatrie und Psychotherapie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Psychiatrie und Psychotherapie
1878;Krohn M;53726;337;Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement;4;Rechts- und Staatswissenschaftliche Fakultät;Krohn;Markus;Fachbereich Wirtschaftswissenschaften
1879;Krey K;47677;26;Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Kieferorthopädie;1;Universitätsmedizin Greifswald;Krey;Karl-Friedrich;Zentrum für Zahn-, Mund- und Kieferheilkunde
1891;Schlesinger C;49199;288;Institut für Deutsche Philologie / LS für Neuere deutsche Literatur und Literaturtheorie (Schumacher);3;Philosophische Fakultät;NaN;NaN;Institut für Deutsche Philologie
1901;Cigliano A;19863;42;Institut für Pathologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pathologie
1902;Ribback S;1412;42;Institut für Pathologie;1;Universitätsmedizin Greifswald;Ribback;Silvia;Institut für Pathologie
1919;Grisk O;129;43;Institut für Physiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Physiologie
1920;Koenen A;1804;43;Institut für Physiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Physiologie
1921;Steinbach A;2075;43;Institut für Physiologie;1;Universitätsmedizin Greifswald;Steinbach;Antje;Institut für Physiologie
1923;Meissner T;58015;43;Institut für Physiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Physiologie
1924;Donner A;58016;43;Institut für Physiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Physiologie
1925;Braun D;58017;43;Institut für Physiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Physiologie
1926;Glöckl G;1652;47;Institut für Pharmakologie / Abt. Klinische Pharmakologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pharmakologie
1928;Ehrhardt J;3299;12;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe;1;Universitätsmedizin Greifswald;Ehrhardt;Jens;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
1932;Utpatel K;2298;42;Institut für Pathologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pathologie
1933;Könsgen-Mustea D;1853;12;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
1934;Mustea A;1855;12;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
1935;Goyal P;2284;12;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
1937;Delogu S;19853;12;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
1938;Brünnert D;19859;12;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe;1;Universitätsmedizin Greifswald;Brünnert;Daniela;Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe
1955;Marx S;27421;36;Klinik und Poliklinik für Neurochirurgie;1;Universitätsmedizin Greifswald;Marx;Sascha;Klinik und Poliklinik für Neurochirurgie
1958;Warzok R;233;42;Institut für Pathologie;1;Universitätsmedizin Greifswald;Warzok;Rolf;Institut für Pathologie
1959;Bollmann T;170;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
1963;Stubbe B;1569;125;Weaning Ärzte B;1;Universitätsmedizin Greifswald;Stubbe;Beate;Weaning Ärzte B
1964;Schäper C;1702;125;Weaning Ärzte B;1;Universitätsmedizin Greifswald;Schäper;Christoph;Weaning Ärzte B
1965;Warnke C;499;125;Weaning Ärzte B;1;Universitätsmedizin Greifswald;NaN;NaN;Weaning Ärzte B
1967;Lau K;65872;64;Institut für Community Medicine / Abt. SHIP KEF;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
1973;Pietzner M;31220;54;Institut für Klinische Chemie und Laboratoriumsmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Klinische Chemie und Laboratoriumsmedizin
1981;Meyer Zu Schwabedissen H;48034;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pharmakologie
1986;Albers M;1879;64;Institut für Community Medicine / Abt. SHIP KEF;1;Universitätsmedizin Greifswald;Albers;Martin;Institut für Community Medicine
1995;Ivanovska T;2033;64;Institut für Community Medicine / Abt. SHIP KEF;1;Universitätsmedizin Greifswald;Ivanovska;Tetyana;Institut für Community Medicine
2003;Khattak R;67687;64;Institut für Community Medicine / Abt. SHIP KEF;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
2023;Dahms C;18434;38;Institut für Hygiene und Umweltmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Hygiene und Umweltmedizin
2030;Wygold T;47251;90;Ärztliches Direktorat;1;Universitätsmedizin Greifswald;NaN;NaN;Ärztliches Direktorat
2033;Maletzki S;30997;38;Institut für Hygiene und Umweltmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Hygiene und Umweltmedizin
2035;Hübner C;53688;337;Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement;4;Rechts- und Staatswissenschaftliche Fakultät;Hübner;Claudia;Fachbereich Wirtschaftswissenschaften
2041;Kühn K;53677;337;Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement;4;Rechts- und Staatswissenschaftliche Fakultät;NaN;NaN;Fachbereich Wirtschaftswissenschaften
2045;Oberdörfer H;43651;200;Institut für Mathematik und Informatik / AG Algebra und funktionalanalytische Anwendungen;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Mathematik und Informatik
2051;Gieseler V;52630;337;Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement;4;Rechts- und Staatswissenschaftliche Fakultät;NaN;NaN;Fachbereich Wirtschaftswissenschaften
2065;Reiner K;58245;67;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald;1;Universitätsmedizin Greifswald;NaN;NaN;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock
2085;Peters B;53982;43;Institut für Physiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Physiologie
2092;Wirkner J;72096;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;Wirkner;Janine;Zentrum für Innere Medizin
2105;Lucht M;24122;35;Klinik und Poliklinik für Psychiatrie und Psychotherapie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Psychiatrie und Psychotherapie
2111;Quellmalz A;17972;35;Klinik und Poliklinik für Psychiatrie und Psychotherapie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Psychiatrie und Psychotherapie
2113;Klauer T;20808;35;Klinik und Poliklinik für Psychiatrie und Psychotherapie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Psychiatrie und Psychotherapie
2126;Giebel J;451;40;Institut für Anatomie und Zellbiologie;1;Universitätsmedizin Greifswald;Giebel;Jürgen;Institut für Anatomie und Zellbiologie
2128;Schordan E;1523;40;Institut für Anatomie und Zellbiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Anatomie und Zellbiologie
2129;Schordan S;1613;40;Institut für Anatomie und Zellbiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Anatomie und Zellbiologie
2131;Blumenthal A;17981;40;Institut für Anatomie und Zellbiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Anatomie und Zellbiologie
2132;Warsow G;27666;40;Institut für Anatomie und Zellbiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Anatomie und Zellbiologie
2133;Klemm P;66035;40;Institut für Anatomie und Zellbiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Anatomie und Zellbiologie
2134;Ummanni R;1797;44;Institut für Medizinische Biochemie und Molekularbiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Medizinische Biochemie und Molekularbiologie
2138;Müller T;69022;40;Institut für Anatomie und Zellbiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Anatomie und Zellbiologie
2141;von Bohlen und Halbach V;29806;40;Institut für Anatomie und Zellbiologie;1;Universitätsmedizin Greifswald;von Bohlen und Halbach;Viola;Institut für Anatomie und Zellbiologie
2142;Renelt M;58339;40;Institut für Anatomie und Zellbiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Anatomie und Zellbiologie
2148;Koppe T;481;40;Institut für Anatomie und Zellbiologie;1;Universitätsmedizin Greifswald;Koppe;Thomas;Institut für Anatomie und Zellbiologie
2155;Wegner A;1722;33;Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin;1;Universitätsmedizin Greifswald;Wegner;Annette;Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
2158;Sckell A;19606;2;Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
2162;Wilke F;2494;38;Institut für Hygiene und Umweltmedizin;1;Universitätsmedizin Greifswald;Wilke;Florian;Institut für Hygiene und Umweltmedizin
2166;Leesch H;25776;38;Institut für Hygiene und Umweltmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Hygiene und Umweltmedizin
2168;Claus F;53694;344;Fachbereich Wirtschaftswissenschaften / LS für AVWL und Finanzwissenschaft;4;Rechts- und Staatswissenschaftliche Fakultät;NaN;NaN;Fachbereich Wirtschaftswissenschaften
2179;Schmoeckel K;31347;52;Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
2180;Traffehn S;31804;52;Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
2184;Stentzel S;19570;52;Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
2185;Vu H;47252;52;Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
2202;Lindqvist C;49082;294;Institut für Fennistik und Skandinavistik / LS für Skandinavistische Sprachwissenschaft;3;Philosophische Fakultät;Lindqvist;Christer;Institut für Fennistik und Skandinavistik
2203;Petsch T;1703;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;Petsch;Thomas;Zentrum für Innere Medizin
2229;Steveling A;1230;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;Steveling;Antje;Zentrum für Innere Medizin
2234;Beyer G;62345;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
2235;International p;74821;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
2238;Aghdassi A;1438;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;Aghdassi;Ali-Aser Alexander;Zentrum für Innere Medizin
2242;Suchsland T;50526;338;Fachbereich Wirtschaftswissenschaften / LS für ABWL sowie Organisation, Personalwirtschaft und Innovationsmanagement;4;Rechts- und Staatswissenschaftliche Fakultät;NaN;NaN;Fachbereich Wirtschaftswissenschaften
2244;Meinke P;58607;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Humangenetik
2260;Weiss F;31367;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
2300;Krüger W;987;10;Zentrum für Innere Medizin / Klinik für Innere Medizin C;1;Universitätsmedizin Greifswald;Krüger;William;Zentrum für Innere Medizin
2312;Herrmann A;49771;33;Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin;1;Universitätsmedizin Greifswald;Herrmann;Andrea;Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin
2323;Preuß M;65021;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Urologie
2324;Saupe M;58932;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Urologie
2325;Rauschenberger L;58933;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Urologie
2326;Fussek S;29791;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Urologie
2330;Streitbörger A;1904;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Urologie
2333;Weiss M;47098;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Urologie
2334;Preuss M;58935;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Urologie
2340;Schubert T;24227;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Urologie
2343;Stender C;47130;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Urologie
2348;Wesche J;1611;53;Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin;1;Universitätsmedizin Greifswald;Wesche;Jan;Institut für Immunologie und Transfusionsmedizin
2349;Berthold T;2055;53;Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
2352;Schubert N;25703;53;Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
2356;Muschter S;50985;66;Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung;1;Universitätsmedizin Greifswald;NaN;NaN;Interfakultäres Institut für Genetik und Funktionelle Genomforschung
2362;Mihai P;19862;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Radiologie
2363;Ruge S;1764;25;Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnärztliche Prothetik, Alterszahnheilkunde und Medizinische Werkstoffkunde;1;Universitätsmedizin Greifswald;Ruge;Sebastian;Zentrum für Zahn-, Mund- und Kieferheilkunde
2369;John D;2276;25;Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnärztliche Prothetik, Alterszahnheilkunde und Medizinische Werkstoffkunde;1;Universitätsmedizin Greifswald;John;Diana;Zentrum für Zahn-, Mund- und Kieferheilkunde
2394;Pickartz T;1271;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;Pickartz;Tilman;Zentrum für Innere Medizin
2395;Wahnschaffe U;1450;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
2396;Jahn A;25795;21;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin;1;Universitätsmedizin Greifswald;Jahn;Andrea;Zentrum für Kinder- und Jugendmedizin
2397;Rosenberg C;1189;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;Rosenberg;Christian;Zentrum für Radiologie
2400;von Podewils F;1573;34;Klinik und Poliklinik für Neurologie;1;Universitätsmedizin Greifswald;von Podewils;Felix;Klinik und Poliklinik für Neurologie
2401;Runge U;4;34;Klinik und Poliklinik für Neurologie;1;Universitätsmedizin Greifswald;Runge;Uwe;Klinik und Poliklinik für Neurologie
